iter	Passed	Remaining
0	143	143852
1	145	72590
2	146	48754
3	148	36883
4	149	29797
5	150	25009
6	152	21579
7	153	19029
8	154	17031
9	155	15441
10	157	14150
11	158	13066
12	160	12153
13	161	11367
14	162	10673
15	163	10069
16	164	9532
17	166	9058
18	167	8637
19	168	8273
20	170	7936
21	171	7638
22	173	7365
23	174	7108
24	176	6873
25	178	6676
26	179	6482
27	181	6295
28	182	6121
29	184	5956
30	185	5809
31	187	5667
32	188	5536
33	190	5405
34	191	5289
35	193	5171
36	194	5056
37	195	4951
38	196	4852
39	198	4757
40	199	4667
41	200	4581
42	202	4498
43	203	4421
44	205	4351
45	206	4280
46	207	4208
47	208	4140
48	209	4074
49	211	4011
50	212	3953
51	214	3905
52	215	3857
53	217	3808
54	219	3763
55	220	3716
56	221	3669
57	223	3622
58	224	3575
59	225	3531
60	226	3488
61	228	3451
62	229	3413
63	230	3376
64	232	3342
65	233	3309
66	235	3277
67	236	3242
68	237	3208
69	239	3176
70	240	3144
71	241	3116
72	243	3091
73	245	3068
74	246	3042
75	248	3018
76	249	2993
77	251	2968
78	252	2941
79	253	2917
80	255	2895
81	257	2879
82	258	2851
83	259	2832
84	261	2810
85	263	2795
86	264	2776
87	265	2755
88	267	2737
89	269	2725
90	271	2715
91	273	2703
92	275	2689
93	277	2672
94	278	2655
95	280	2643
96	282	2629
97	283	2611
98	285	2596
99	287	2583
100	290	2587
101	292	2572
102	294	2564
103	295	2548
104	297	2533
105	298	2517
106	300	2507
107	302	2498
108	304	2485
109	305	2471
110	307	2462
111	309	2450
112	310	2436
113	311	2423
114	313	2416
115	315	2405
116	317	2393
117	318	2380
118	319	2367
119	321	2354
120	322	2343
121	323	2329
122	325	2317
123	326	2306
124	328	2296
125	330	2291
126	331	2280
127	333	2271
128	335	2263
129	337	2256
130	338	2247
131	340	2237
132	341	2229
133	344	2223
134	346	2219
135	347	2210
136	349	2199
137	350	2189
138	351	2178
139	353	2168
140	354	2158
141	355	2147
142	356	2138
143	358	2129
144	359	2121
145	361	2112
146	362	2102
147	363	2093
148	365	2085
149	366	2076
150	367	2068
151	369	2059
152	370	2051
153	371	2042
154	373	2035
155	374	2027
156	376	2020
157	377	2012
158	378	2003
159	380	1996
160	381	1985
161	382	1979
162	383	1971
163	385	1963
164	386	1956
165	388	1949
166	389	1942
167	390	1935
168	392	1928
169	393	1922
170	394	1914
171	396	1907
172	397	1900
173	398	1893
174	400	1887
175	401	1880
176	403	1874
177	404	1868
178	405	1861
179	407	1855
180	408	1849
181	410	1843
182	411	1836
183	412	1830
184	413	1823
185	415	1816
186	416	1811
187	418	1805
188	419	1799
189	420	1793
190	422	1787
191	423	1782
192	424	1776
193	426	1770
194	427	1763
195	428	1757
196	429	1751
197	431	1746
198	432	1741
199	433	1735
200	435	1730
201	436	1724
202	438	1720
203	439	1714
204	440	1708
205	441	1702
206	442	1696
207	443	1690
208	445	1685
209	446	1680
210	448	1676
211	449	1671
212	451	1667
213	452	1661
214	453	1656
215	455	1651
216	456	1646
217	457	1641
218	458	1636
219	460	1631
220	461	1627
221	463	1624
222	464	1619
223	466	1615
224	467	1610
225	468	1605
226	470	1600
227	471	1596
228	472	1591
229	474	1586
230	475	1583
231	476	1578
232	478	1575
233	479	1570
234	481	1566
235	482	1562
236	483	1558
237	485	1553
238	486	1549
239	487	1544
240	489	1541
241	490	1537
242	492	1535
243	494	1532
244	495	1528
245	497	1524
246	498	1520
247	499	1516
248	501	1512
249	502	1508
250	504	1504
251	505	1500
252	507	1498
253	508	1494
254	510	1490
255	511	1486
256	512	1483
257	514	1479
258	515	1475
259	516	1470
260	518	1467
261	519	1464
262	521	1460
263	522	1457
264	524	1453
265	525	1449
266	526	1446
267	528	1442
268	529	1439
269	531	1436
270	532	1433
271	534	1429
272	535	1425
273	536	1422
274	538	1419
275	539	1415
276	541	1412
277	542	1409
278	543	1405
279	545	1402
280	547	1400
281	548	1397
282	550	1394
283	551	1390
284	553	1387
285	554	1384
286	555	1381
287	557	1377
288	558	1373
289	560	1371
290	562	1369
291	563	1366
292	566	1365
293	567	1362
294	568	1359
295	570	1356
296	571	1353
297	573	1350
298	574	1346
299	575	1343
300	577	1340
301	578	1337
302	580	1334
303	581	1331
304	582	1328
305	584	1325
306	585	1321
307	586	1318
308	588	1315
309	589	1311
310	590	1308
311	592	1305
312	593	1302
313	594	1299
314	596	1296
315	597	1293
316	598	1290
317	600	1287
318	601	1284
319	602	1280
320	603	1277
321	605	1275
322	607	1272
323	608	1269
324	609	1266
325	611	1263
326	612	1260
327	613	1257
328	614	1254
329	616	1251
330	617	1248
331	619	1245
332	620	1242
333	622	1240
334	623	1238
335	625	1235
336	626	1232
337	627	1229
338	629	1226
339	630	1224
340	631	1221
341	633	1218
342	634	1215
343	635	1212
344	637	1209
345	638	1206
346	639	1203
347	641	1201
348	642	1199
349	644	1196
350	645	1194
351	647	1191
352	648	1188
353	649	1185
354	651	1183
355	652	1180
356	654	1178
357	655	1175
358	657	1173
359	658	1170
360	659	1167
361	660	1164
362	662	1162
363	663	1159
364	665	1157
365	666	1155
366	668	1153
367	669	1150
368	671	1147
369	672	1145
370	673	1142
371	674	1139
372	676	1136
373	677	1134
374	679	1131
375	680	1129
376	681	1126
377	683	1124
378	684	1121
379	685	1118
380	687	1116
381	688	1113
382	689	1110
383	690	1108
384	692	1105
385	693	1103
386	694	1100
387	696	1098
388	697	1095
389	698	1093
390	700	1091
391	701	1088
392	703	1085
393	704	1083
394	705	1080
395	706	1078
396	708	1076
397	709	1073
398	711	1071
399	712	1068
400	714	1066
401	715	1063
402	716	1061
403	717	1059
404	719	1056
405	720	1054
406	722	1052
407	723	1049
408	724	1047
409	726	1045
410	727	1042
411	728	1040
412	730	1037
413	731	1035
414	732	1033
415	734	1030
416	735	1028
417	737	1026
418	738	1024
419	739	1021
420	740	1019
421	742	1016
422	743	1014
423	744	1011
424	745	1009
425	747	1006
426	748	1003
427	749	1001
428	750	999
429	752	996
430	753	994
431	754	992
432	756	990
433	757	987
434	758	985
435	759	982
436	761	980
437	762	978
438	763	975
439	764	973
440	766	971
441	767	968
442	768	966
