iter	Passed	Remaining
0	1	99
1	1	87
2	2	80
3	3	74
4	3	72
5	4	71
6	5	70
7	5	68
8	6	67
9	7	66
10	8	64
11	8	63
12	9	64
13	10	64
14	11	63
15	12	63
16	12	62
17	13	61
18	14	60
19	14	59
20	15	59
21	16	58
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	53
29	22	52
30	23	51
31	24	51
32	24	50
33	25	49
34	26	48
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	30	44
41	31	43
42	31	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	42	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	53	21
71	54	21
72	54	20
73	55	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	64	11
85	64	10
86	65	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	71	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	76	0
